container;item;scale;time
banana.stl;apple.stl;0,039777;2,856
banana.stl;arrow.obj;0,196138;1,953
banana.stl;banana.stl;0,690729;3,22
banana.stl;bobbin.stl;0,592073;7,664
banana.stl;convexstone.stl;0,123605;3,196
banana.stl;cube.obj;0,41406;2,704
banana.stl;dagger.stl;0,043684;2,971
banana.stl;dodecahedron.stl;0,225788;3,124
banana.stl;dragon.obj;0,739813;11,277
banana.stl;frustum.stl;0,486032;2,772
banana.stl;gem.stl;0,021933;3,646
banana.stl;helmet.stl;0,864098;16,275
banana.stl;oloid.stl;0,023665;3,428
banana.stl;pig.obj;0,522872;17,598
banana.stl;ring.obj;0,159503;5,188
banana.stl;sphere.stl;0,941995;12,36
banana.stl;star.obj;0,220116;1,438
banana.stl;star.stl;0,017691;2,183
banana.stl;stone_1.obj;0,113185;3,108
banana.stl;stone_2.obj;0,701452;6,624
banana.stl;stone_3.obj;0,233108;4,078
banana.stl;stone_4.obj;0,223431;3,019
banana.stl;stone_5.obj;0,118162;3,002
banana.stl;stone_6.obj;0,564057;4,906
banana.stl;stone_7.obj;0,444986;2,71
banana.stl;tetrahedron.stl;0,749608;2,374
banana.stl;torus.stl;0,268566;8,867
banana.stl;tree.stl;0,05555;3,633
convexstone.stl;apple.stl;0,186758;1,464
convexstone.stl;arrow.obj;1,153831;0,723
convexstone.stl;banana.stl;2,387352;0,829
convexstone.stl;bobbin.stl;2,746383;3,685
convexstone.stl;convexstone.stl;0,999773;1,52
convexstone.stl;cube.obj;2,441402;0,732
convexstone.stl;dagger.stl;0,187219;2,195
convexstone.stl;dodecahedron.stl;1,087969;0,793
convexstone.stl;dragon.obj;3,785859;10,006
convexstone.stl;frustum.stl;2,401419;0,951
convexstone.stl;gem.stl;0,117006;0,92
convexstone.stl;helmet.stl;4,481287;13,894
convexstone.stl;oloid.stl;0,125704;0,737
convexstone.stl;pig.obj;2,628583;7,834
convexstone.stl;ring.obj;1,068564;0,873
convexstone.stl;sphere.stl;4,416314;3,779
convexstone.stl;star.obj;1,425715;1,233
convexstone.stl;star.stl;0,138309;0,641
convexstone.stl;stone_1.obj;0,666482;2,254
convexstone.stl;stone_2.obj;3,548599;1,429
convexstone.stl;stone_3.obj;1,575945;1,524
convexstone.stl;stone_4.obj;1,381123;0,85
convexstone.stl;stone_5.obj;0,670701;0,891
convexstone.stl;stone_6.obj;2,767961;1,533
convexstone.stl;stone_7.obj;2,146358;0,782
convexstone.stl;tetrahedron.stl;3,688448;0,636
convexstone.stl;torus.stl;2,081065;1,876
convexstone.stl;tree.stl;0,257195;1,334
dodecahedron.stl;apple.stl;0,136612;0,448
dodecahedron.stl;arrow.obj;0,647034;0,503
dodecahedron.stl;banana.stl;0,925903;0,717
dodecahedron.stl;bobbin.stl;2,098265;1,28
dodecahedron.stl;convexstone.stl;0,330044;0,722
dodecahedron.stl;cube.obj;1,114249;0,475
dodecahedron.stl;dagger.stl;0,064744;2,672
dodecahedron.stl;dodecahedron.stl;0,999722;0,589
dodecahedron.stl;dragon.obj;2,308877;4,216
dodecahedron.stl;frustum.stl;1,672118;0,581
dodecahedron.stl;gem.stl;0,075607;0,508
dodecahedron.stl;helmet.stl;3,004273;12,033
dodecahedron.stl;oloid.stl;0,079639;0,642
dodecahedron.stl;pig.obj;1,071015;10,263
dodecahedron.stl;ring.obj;0,4617;0,823
dodecahedron.stl;sphere.stl;3,609071;2,6
dodecahedron.stl;star.obj;0,628531;0,76
dodecahedron.stl;star.stl;0,066648;0,688
dodecahedron.stl;stone_1.obj;0,325935;1,359
dodecahedron.stl;stone_2.obj;2,216772;0,91
dodecahedron.stl;stone_3.obj;0,646286;0,978
dodecahedron.stl;stone_4.obj;0,641648;0,569
dodecahedron.stl;stone_5.obj;0,321863;0,716
dodecahedron.stl;stone_6.obj;1,397081;0,957
dodecahedron.stl;stone_7.obj;1,624261;0,72
dodecahedron.stl;tetrahedron.stl;2,617308;0,524
dodecahedron.stl;torus.stl;0,980395;1,535
dodecahedron.stl;tree.stl;0,17718;1,024
frustum.stl;apple.stl;0,057062;1,185
frustum.stl;arrow.obj;0,32568;0,784
frustum.stl;banana.stl;0,426163;1,525
frustum.stl;bobbin.stl;0,850425;3,103
frustum.stl;convexstone.stl;0,153077;1,114
frustum.stl;cube.obj;0,47126;0,784
frustum.stl;dagger.stl;0,030278;1,908
frustum.stl;dodecahedron.stl;0,335809;0,87
frustum.stl;dragon.obj;1,019111;5,958
frustum.stl;frustum.stl;0,999304;1,372
frustum.stl;gem.stl;0,034291;0,844
frustum.stl;helmet.stl;1,62504;8,129
frustum.stl;oloid.stl;0,034442;1,192
frustum.stl;pig.obj;0,460001;10,417
frustum.stl;ring.obj;0,210683;1,004
frustum.stl;sphere.stl;1,438587;3,736
frustum.stl;star.obj;0,285477;1,166
frustum.stl;star.stl;0,027755;0,78
frustum.stl;stone_1.obj;0,143645;1,414
frustum.stl;stone_2.obj;1,001325;1,065
frustum.stl;stone_3.obj;0,298412;1,459
frustum.stl;stone_4.obj;0,29109;1,122
frustum.stl;stone_5.obj;0,145088;1,028
frustum.stl;stone_6.obj;0,62971;1,179
frustum.stl;stone_7.obj;0,659834;1,751
frustum.stl;tetrahedron.stl;1,194368;0,616
frustum.stl;torus.stl;0,456571;2,151
frustum.stl;tree.stl;0,077816;1,499
rock_001k.stl;apple.stl;0,939577;33,887
rock_001k.stl;arrow.obj;4,860597;4,651
rock_001k.stl;banana.stl;9,061671;37,717
rock_001k.stl;bobbin.stl;13,395806;86,582
rock_001k.stl;convexstone.stl;3,111166;34,366
rock_001k.stl;cube.obj;9,399898;41,246
rock_001k.stl;dagger.stl;0,663231;3,748
rock_001k.stl;dodecahedron.stl;5,36893;31,461
rock_001k.stl;dragon.obj;18,606815;37,614
rock_001k.stl;frustum.stl;11,717003;52,581
rock_001k.stl;gem.stl;0,57908;15,364
rock_001k.stl;helmet.stl;21,804064;36,351
rock_001k.stl;oloid.stl;0,59547;17,194
rock_001k.stl;pig.obj;9,719486;48,76
rock_001k.stl;ring.obj;4,149062;21,587
rock_001k.stl;sphere.stl;22,303395;247,636
rock_001k.stl;star.obj;5,570874;4,771
